feature,converged,duplicated,mean_clr,sd_clr,cv,donor_mean_sd,donor_mean_cv,specificity,frac_signal_top_cluster,frac_donor,frac_rep,frac_concentration
Hu.CD134,True,False,1.1205567827913223,0.42114723658795095,0.3758374792385509,0.010503431992834577,0.00936825109989789,1.452257915693779,0.018618691226843318,0.3163812570602387,0.1756655082256854,0.0713788654658067
Hu.CD135,True,False,0.6564032747454537,0.5174095862180712,0.7882495504287623,0.012520540668443422,0.019104814344921308,2.9412022315290036,0.0377077209170385,0.3440867039640219,0.2180102670803624,0.0027841866214214
Hu.CD137,True,False,-0.02548664780998263,0.5344067048745201,20.96810490178325,0.02520807971801289,0.9112499977963724,,,0.3468535987370207,0.2133638827165224,0.0017149096970435
Hu.CD137L,True,False,0.5272636263654998,0.5263290558250973,0.9982275080364548,0.01645213038570839,0.031287190590536584,1.7729197981398235,0.02272974100179261,0.0001136519143722,0.0166209550853984,0.0020555656996425
Hu.CD138_DL.101,True,False,1.7631735596394698,0.35665838533265404,0.20228206314844174,0.03485711077952494,0.019730349851509288,1.2692023018811656,0.016271824383091864,0.0078787065169126,0.0783003958790497,0.0149853468901969
Hu.CD140a,True,False,-0.044083220322269995,0.5160967321115736,11.707328283611156,0.00486705381320924,0.11084743589614168,,,0.3386099730246543,0.1855712556544403,0.027999327597612
Hu.CD140b,True,False,0.750397697463269,0.5050514608504825,0.6730450567183465,0.006214478544561991,0.008284190396515203,1.494221570130178,0.019156686796540742,0.2700633671037392,0.2541704993269041,0.1932843752521437
Hu.CD141,True,False,0.23952031465292478,0.5399879655863028,2.2544558125216585,0.018334156271131833,0.0759016591334178,4.795855707729211,0.06148532958627194,0.3350285035560703,0.1847649838284211,0.0373720888190217
Hu.CD142,True,False,-0.00687875416913342,0.5175603120780621,75.24041408551513,0.013268228319970567,2.462402112997469,38.32003211971378,0.4912824630732536,0.000129069084948,0.0039837696555156,0.0008503467896031
Hu.CD144,True,False,1.964424996381923,0.32425231513050773,0.16506220177798364,0.008317687140778697,0.004235466575136365,1.1422114414819071,0.014643736429255217,0.0119840963040663,0.116208871842976,0.0016648203627377
Hu.CD146,True,False,-0.4854962095606084,0.41304002160166614,0.8507584888777654,0.018845673344822456,0.038698334381514175,,,0.3371316676420902,0.1852317236398675,0.0309580582334119
Hu.CD14_M5E2,True,False,-0.48725549030017073,0.4135595578718627,0.8487529973589254,0.020143592359850745,0.04117362537858308,,,1.5534474377221726e-05,0.0128925772613085,0.0016188316764178
Hu.CD150,True,False,0.8662802400233824,0.5502070187328375,0.6351374454968365,0.08920375072012152,0.10209529199006095,1.6125396509124919,0.02067358526810887,0.2497301672391448,0.0510869979074727,0.2107010563269062
Hu.CD151,True,False,-0.11313604578024469,0.5282510562969909,4.669166689129873,0.007260060288671006,0.06419012879025777,,,0.3422365716404858,0.2154152308148458,0.0049934162016971
Hu.CD152,True,False,0.17700633811764857,0.5467081094321354,3.0886357813286995,0.023477834293829228,0.13389020632687829,4.571220478688515,0.05860539075241686,0.0141720129410453,0.0045508570806951,0.0007443572609641
Hu.CD154,True,False,0.2796161011294616,0.5223072416718828,1.867944083198756,0.00896408446670757,0.03212850452315039,3.8226387110148328,0.049008188602754264,0.3440784309241302,0.2081427936176028,0.0074790677342964
