feature,donor,cell_type,concentration,rep,residual,frac_donor,frac_cell_type,frac_concentration,frac_rep,frac_residual,converged,error
Hu.CD274,0.19527746018284325,0.0007727160763708061,0.012994168303740688,0.11276805758042621,0.2562484689520732,0.33781470074731534,0.0013367382485281708,0.022478892714388524,0.19507990113000578,0.44328976715976226,True,
Hu.CD275_B7.RP1,0.00044139439823294874,0.005732447577257725,0.001844318844548228,0.006664767559870102,0.26455590619988817,0.0015807056310672752,0.020528833626898634,0.006604807842446367,0.023867624178776373,0.9474180287208115,True,
Hu.CD276,0.24149216032722817,0.0003301710273048195,0.0007901541880921494,0.14976539330498234,0.30427161615039766,0.3466480088784385,0.0004739413861281346,0.0011342205711272525,0.2149795476495841,0.4367642815147221,True,
Hu.CD279,0.1871550546650377,0.00013560629847370916,0.0004095960088437808,0.12044063127675625,0.23521252885780983,0.3444444237813807,0.00024957291921663666,0.0007538298204227183,0.22166168001305842,0.43289049346592146,True,
Hu.CD28,0.1940321722679909,0.003685047586410789,0.0032491504614242674,0.1154760439848707,0.24858249324704934,0.3434046352223768,0.006521920604180433,0.0057504552773183825,0.20437336910694098,0.43994961978918334,True,
Hu.CD284,0.0018128190918005643,0.002353244011129997,0.00048332482543741784,0.010155324027344695,0.14876625219860315,0.011082768272309735,0.014386685456655399,0.00295483264976931,0.062085126659545624,0.9094905869617199,True,
Hu.CD29,0.008042095999029128,0.02181838202185961,0.015564480282312197,0.002298927904170276,0.22730347961331568,0.02924107561089916,0.07933167652881794,0.056592478482522975,0.008358906021261672,0.8264758633564983,True,
Hu.CD294,0.0002211013483316596,0.001962956434197448,0.0002027823429447415,0.007535908698795567,0.13624108238531404,0.001512695353576383,0.01342983703938888,0.0013873633529349206,0.051557958192747916,0.932112146061352,True,
Hu.CD30,3.845357285972875e-06,0.00047922480947995013,0.00014399344576053124,0.006665885483422832,0.2583369008950078,1.44763748731695e-05,0.001804107518399248,0.0005420830744942003,0.025094640092782342,0.972544692939451,False,
Hu.CD301,1.1040997200485338e-05,0.00033647025116046396,0.00022874339928070163,0.004031158332585077,0.12982121145756642,8.213278419429605e-05,0.0025029658122862485,0.001701597410799607,0.02998735090420043,0.9657259530885194,True,
Hu.CD303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,Singular matrix
Hu.CD304,0.0007212690389098914,0.0005644265535550998,0.00030236654558454785,0.002824130881755746,0.17250330928498447,0.004076912591115335,0.0031903736314905103,0.0017091014729937641,0.01596316232870502,0.9750604499756954,True,
Hu.CD305_LAIR1,0.14489705003834769,0.021785242046814625,0.014083326946232134,0.07884092477446768,0.19212423904566125,0.32075974349964326,0.0482261622936046,0.0311763720358661,0.17453077755026808,0.425306944620618,True,
Hu.CD307c,0.18113419028798422,0.00031468070612133297,0.22030826648433666,0.06138711451989978,0.2801822353721933,0.2436805271513108,0.0004233411717030206,0.2963815634549248,0.08258432272076345,0.3769302455012979,False,
Hu.CD307d,0.0012313159097918195,0.00040703205609233086,0.0001645050434271629,0.007079597786717405,0.20889462702869696,0.0056540197990112805,0.0018690307545586773,0.0007553827293043305,0.0325084616683823,0.9592131050487434,True,
Hu.CD307e,0.22018959747035174,2.911641226678683e-05,0.014939975338544879,0.12475593351398072,0.28733669567780523,0.34019180989890196,4.498470908978578e-05,0.02308218602810648,0.19274728372880015,0.4439337356351016,True,
Hu.CD309,0.20065000916741008,0.0022971072000309086,0.0073430044391397924,0.11814103508848864,0.25962285445794736,0.34121017055381897,0.003906286088673937,0.012486955806545198,0.20090167401046544,0.4414949135404965,True,
Hu.CD31,0.007791991661063441,0.002255556950042835,0.0004548755215909156,0.0130794643322839,0.010151860114997335,0.23098505173801304,0.06686351339505588,0.013484286233783465,0.3877263833064432,0.3009407653267044,True,
Hu.CD314,0.20500736573841638,0.006208669573769589,0.008190289702012306,0.11762111962602909,0.26596406675922885,0.33998383370708474,0.01029644606332876,0.01358276119510178,0.19506264582903907,0.44107431320544577,False,
Hu.CD317,0.1618154298526278,0.0006463111188206368,0.001285983694251137,0.09906345985863588,0.20509900071809595,0.3458258335812647,0.0013812717465976365,0.0027483558486440067,0.21171469009017102,0.4383298487333227,True,
